Date,Close,Returns,Log Returns
2024-10-03,15.021,1.003,0.003245689088104838
2024-10-04,15.002,0.999,-0.001297075339945103
2024-10-07,14.622,0.975,-0.025633964227402203
2024-10-08,14.778,1.011,0.010596147543698515
2024-10-09,14.836,1.004,0.003944762284654155
2024-10-10,14.758,0.995,-0.005263213293027889
2024-10-11,14.778,1.001,0.001318451008373558
2024-10-14,14.866,1.006,0.005911323300684061
2024-10-15,15.06,1.013,0.013012556426775653
2024-10-16,15.635,1.038,0.03742901704269337
2024-10-17,15.761,1.008,0.008062087352602533
2024-10-18,15.654,0.993,-0.006817537127655444
2024-10-21,15.284,0.976,-0.0239155164733285
2024-10-22,15.051,0.985,-0.015404669598583979
2024-10-23,14.905,0.99,-0.009749793757345523
2024-10-24,15.099,1.013,0.012978714713185522
2024-10-25,14.895,0.986,-0.01363215733530632
2024-10-28,14.973,1.005,0.0052151783918225735
2024-10-29,15.158,1.012,0.012277972023779003
2024-10-30,15.43,1.018,0.017823566954642982
2024-10-31,14.7,0.953,-0.0484747485208844
2024-11-01,14.593,0.993,-0.00731146706545967
2024-11-04,14.583,0.999,-0.000667396715814623
2024-11-05,14.544,0.997,-0.0026737877040635735
2024-11-06,14.544,1.0,0.0
2024-11-07,14.758,1.015,0.014618207083882761
2024-11-08,14.875,1.008,0.007884436171829668
2024-11-11,14.905,1.002,0.001961482002386161
2024-11-12,14.34,0.962,-0.038620083969879565
2024-11-13,14.427,1.006,0.006091431261987459
2024-11-14,14.33,0.993,-0.006770479174727494
2024-11-15,14.301,0.998,-0.0020401815106483976
2024-11-18,14.369,1.005,0.004753876380710899
2024-11-19,14.359,0.999,-0.0006777336417081997
2024-11-20,14.135,0.984,-0.015716076682479884
2024-11-21,14.233,1.007,0.0068634172367745445
2024-11-22,14.272,1.003,0.0027322311673563036
2024-11-25,14.505,1.016,0.016238517658940587
2024-11-26,14.427,0.995,-0.005383571434218344
2024-11-27,14.593,1.011,0.011405711869671863
2024-11-29,14.447,0.99,-0.010057099432574467
2024-12-02,14.398,0.997,-0.0033749474034786976
2024-12-03,14.301,0.993,-0.006784325718994576
2024-12-04,14.35,1.003,0.0033979494628781177
2024-12-05,14.272,0.995,-0.005442235002224536
2024-12-06,14.32,1.003,0.0034048911223429085
2024-12-09,14.535,1.015,0.014845082691818338
2024-12-10,14.739,1.014,0.013967644735819237
2024-12-11,14.612,0.991,-0.008623632323518393
2024-12-12,14.574,0.997,-0.0026684364018154196
2024-12-13,14.681,1.007,0.007321134553240806
2024-12-16,14.72,1.003,0.0026489975165111352
2024-12-17,14.466,0.983,-0.01734532710176878
2024-12-18,13.853,0.958,-0.043320655678938204
2024-12-19,13.736,0.992,-0.008468612279599838
2024-12-20,13.999,1.019,0.01895457894470156
2024-12-23,13.892,0.992,-0.007678889821444035
2024-12-24,13.989,1.007,0.006983240416486559
2024-12-26,13.902,0.994,-0.006282717830127478
2024-12-27,13.795,0.992,-0.007732871788991576
2024-12-30,13.6,0.986,-0.014214892162142695
2024-12-31,14.0,1.029,0.028987508824008093
